YEAR,STARTS,RATES
1963,1603.2,5.89
1964,1528.8,5.83
1965,1472.8,5.81
1966,1164.9,6.25
1967,1291.6,6.46
1968,1507.6,6.97
1969,1466.8,7.81
1970,1433.6,8.45
1971,2052.2,7.74
1972,2356.6,7.60
1973,2045.3,7.96
1974,1337.7,8.92
1975,1160.4,9.00
1976,1537.5,9.00
1977,1987.1,9.02
1978,2020.3,9.56
1979,1745.1,10.78
1980,1292.2,12.66
1981,1084.2,14.70
1982,1062.2,15.14
1983,1703.0,12.57
1984,1749.5,12.38
1985,1741.8,11.55
1986,1805.4,10.17
1987,1620.5,9.31
1988,1488.1,9.19
1989,1376.1,10.13
1990,1192.7,10.05
1991,1013.9,9.32
1992,1199.7,8.24
1993,1287.6,7.20
1994,1457.0,7.49
1995,1354.1,7.87
1996,1476.8,7.80
1997,1474.0,7.71
1998,1616.9,7.07
1999,1640.9,7.04
2000,1568.7,7.52
2001,1602.7,7.00
2002,1704.9,6.43
