Company Name,DIVYIELD,PRICE,EPS
Delphi,3.62,8,0.61
Liz Claiborne,0.8,28,2.16
Snap-On,4,14,1.76
Darden Restaurants,0.45,18,1.37
Tribune,0.98,45,1.8
Interpublic Group,3.94,10,0.77
TJX,0.75,16,1.08
Dollar General,1.23,10,0.76
Circuit City Stores,1.58,4,0.57
Winn-Dixie Stores,1.64,12,1.65
Kellogg,3.42,30,1.75
Campbell Soup,3.04,21,1.39
Exxon Mobil,2.7,34,1.61
EOG Resources,0.39,41,0.65
Washington Mutual,3.36,35,4.05
North Fork Bancorporation,3.35,32,2.58
Union Planters,4.85,28,2.59
Bank of New York,3.34,23,1.24
Household International,3.58,28,3.22
Charles Schwab,0.56,8,0.52
American International Group,0.38,49,2.1
Loews,1.37,44,4.65
Simon Property Group,6.93,35,1.93
Stryker,0.18,65,1.7
Baxter International,2.05,28,1.67
Eli Lilly,2.37,57,2.5
Bristol-Myers Squibb,4.81,23,0.12
General Electric,3.16,24,1.51
Rockwell Collins,1.83,20,1.29
Cummins,5.01,24,1.82
First Data,0.23,35,1.62
Deluxe,3.67,40,3.36
Union Pacific,1.67,55,5.05
Autodesk,0.83,14,0.28
Scientific-Atlanta,0.31,13,0.35
International Flavors & Fragrances,1.91,31,1.84
Eastman Chemical,5.47,32,1.02
Alltel,3.22,43,2.96
Dominion Resources,4.79,54,4.82
Cinergy,5.71,32,2.34
Peoples Energy,5.92,36,2.51
Nicor,6.12,30,2.94
