Obs,Vix,PriceofCrude
1,25.6,45.01
2,19.0,53.02
3,40.0,30.00
4,23.2,47.58
5,31.6,38.01
6,16.9,54.42
7,26.8,45.94
8,18.4,53.18
9,17.1,58.16
10,26.1,46.80
11,28.4,39.88
12,18.7,55.36
13,32.6,38.94
14,20.4,57.07
15,17.7,55.98
16,30.7,39.10
17,13.9,62.20
18,13.6,63.44
19,14.6,63.13
20,17.1,56.91
21,29.0,39.26
22,17.2,53.80
23,14.4,65.00
24,17.0,59.71
25,19.7,49.60
26,35.3,37.00
27,24.1,50.77
28,22.1,47.89
29,28.5,43.69
30,22.5,50.92
31,34.3,37.23
32,19.3,55.90
33,14.8,63.21
34,8.4,82.11
35,22.9,48.67
36,21.0,48.74
37,32.1,39.02
38,28.1,41.98
39,32.6,39.18
40,30.5,43.30
41,23.6,50.14
42,30.9,39.41
43,25.9,45.71
44,30.8,41.36
45,34.0,37.31
46,20.5,48.12
47,25.9,41.43
48,22.7,46.18
49,29.5,40.66
50,18.5,52.87
51,12.2,70.76
52,11.2,69.82
53,20.9,54.66
54,23.9,50.07
55,12.6,65.93
56,34.6,38.09
57,19.9,53.10
58,18.1,57.14
59,26.8,43.61
60,26.6,46.80
61,34.1,36.46
62,18.5,56.06
63,16.7,58.00
64,10.5,73.32
65,24.5,48.59
66,37.6,34.59
67,20.2,53.57
68,26.5,44.62
69,20.0,55.28
70,29.0,43.14
71,26.9,46.26
72,17.4,58.39
73,14.9,63.76
74,19.7,53.96
75,11.0,72.54
76,14.7,58.86
77,28.5,43.46
78,17.5,61.42
79,21.0,49.52
80,7.2,84.99
81,23.0,49.29
82,26.7,41.90
83,19.7,49.60
84,27.8,41.98
85,10.6,71.84
86,19.2,54.11
87,24.5,44.08
88,24.9,44.54
89,29.4,40.03
90,34.4,36.53
91,15.8,59.56
92,22.4,48.59
93,19.9,51.08
94,19.7,53.33
95,16.0,59.87
96,13.6,65.62
97,9.2,75.27
98,25.2,43.69
99,20.8,53.02
100,15.6,63.68
101,18.5,52.56
102,7.7,82.42
103,21.9,51.62
104,16.6,60.33
105,10.1,75.11
106,25.4,43.14
107,38.7,35.37
108,24.0,46.02
109,18.3,53.72
110,15.7,60.49
111,26.6,46.33
112,37.8,37.47
113,22.7,53.02
114,22.5,44.62
115,22.2,46.02
116,16.5,57.07
117,20.1,51.39
118,20.7,54.19
119,27.5,44.31
120,19.0,56.37
121,18.9,54.42
122,30.2,40.19
123,18.7,54.19
124,19.1,53.26
125,19.2,53.26
126,13.4,62.82
127,24.6,46.10
128,7.6,85.46
129,17.5,59.24
130,24.8,45.87
131,6.4,89.27
132,17.8,55.43
133,7.2,85.30
134,16.9,63.52
135,18.9,49.83
136,27.8,40.19
137,16.4,56.21
138,17.3,55.74
139,32.2,38.79
140,9.1,78.53
141,11.0,73.40
142,27.2,42.83
143,26.7,44.62
144,21.5,51.93
145,22.0,48.74
146,12.2,68.81
147,26.7,44.39
148,33.4,38.48
149,5.0,100.00
150,11.6,68.66
